business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
extrX1RLZEOq6VXN5SvnTw,Fiskie's Cafe,27 Harbor Point Blvd,Dorchester,MA,02125,42.318905,-71.042273,3.5,32,1,"{""BikeParking"":""False"",""NoiseLevel"":""u'average'"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"",""BusinessAcceptsBitcoin"":""False"",""Alcohol"":""u'none'"",""RestaurantsAttire"":""u'casual'"",""RestaurantsPriceRange2"":""2"",""WiFi"":""u'no'"",""OutdoorSeating"":""True"",""RestaurantsTakeOut"":""True"",""RestaurantsDelivery"":""True"",""Caters"":""True"",""GoodForKids"":""True"",""RestaurantsReservations"":""None"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': True, 'breakfast': False}"",""RestaurantsGoodForGroups"":""True"",""HasTV"":""False"",""BusinessAcceptsCreditCards"":""True"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Burgers, American (Traditional), Asian Fusion, Chinese, Restaurants, Mediterranean","{""Monday"":""11:0-21:0"",""Tuesday"":""11:0-21:0"",""Wednesday"":""11:0-21:0"",""Thursday"":""11:0-21:0"",""Friday"":""11:0-21:0"",""Saturday"":""11:0-20:0"",""Sunday"":""11:0-20:0""}"
A3NrsiMLUmlbl5zE22O9XA,Cronin's Landing Apartments,237 Moody St,Waltham,MA,02453,42.3722977,-71.236948,3.0,20,1,"{""ByAppointmentOnly"":""True"",""BusinessAcceptsCreditCards"":""False""}","Apartments, Real Estate, Home Services, Property Management","{""Monday"":""10:0-18:0"",""Tuesday"":""10:0-18:0"",""Wednesday"":""10:0-18:0"",""Thursday"":""10:0-18:0"",""Friday"":""10:0-18:0"",""Saturday"":""10:0-17:0"",""Sunday"":""10:0-17:0""}"
tHSa54yu2eKrH2A-P5NPCg,LA Fitness,1450 Broadway,Saugus,MA,01906,42.4502777,-71.0251688,2.0,99,1,"{""BusinessAcceptsCreditCards"":""True"",""ByAppointmentOnly"":""False"",""BikeParking"":""True"",""GoodForKids"":""True"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Yoga, Gyms, Active Life, Sports Clubs, Fitness & Instruction, Trainers","{""Monday"":""0:0-0:0"",""Tuesday"":""8:0-18:0"",""Wednesday"":""8:0-18:0"",""Thursday"":""8:0-12:0"",""Friday"":""5:0-21:0"",""Saturday"":""8:0-19:0"",""Sunday"":""8:0-19:0""}"
nnzC-mRpElzW89FvpymChQ,Borders,811 SE 160th Ave,Vancouver,WA,98683,45.6147091,-122.5062239,4.0,5,0,"{""RestaurantsPriceRange2"":""2"",""BusinessAcceptsCreditCards"":""True"",""OutdoorSeating"":""False"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"",""WiFi"":""u'no'""}","Newspapers & Magazines, Books, Mags, Music & Video, Bookstores, Coffee & Tea, Food, Shopping, Music & DVDs",
V4PAaxKRgSE1-BvFLs9gKQ,Gurkha Himalayan Kitchen,1141 Davie Street,Vancouver,BC,V6E 1N2,49.2811653,-123.1320997,4.0,169,1,"{""OutdoorSeating"":""True"",""RestaurantsAttire"":""u'casual'"",""RestaurantsReservations"":""True"",""BikeParking"":""True"",""NoiseLevel"":""u'average'"",""RestaurantsDelivery"":""True"",""RestaurantsGoodForGroups"":""True"",""Alcohol"":""u'full_bar'"",""GoodForKids"":""True"",""WiFi"":""u'free'"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"",""RestaurantsTakeOut"":""True"",""BusinessParking"":""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"",""RestaurantsPriceRange2"":""2"",""Caters"":""True"",""WheelchairAccessible"":""False"",""HasTV"":""True"",""RestaurantsTableService"":""True"",""Ambience"":""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"",""HappyHour"":""True""}","Himalayan/Nepalese, Restaurants","{""Monday"":""16:0-22:0"",""Tuesday"":""16:0-22:0"",""Wednesday"":""16:0-22:0"",""Thursday"":""16:0-22:0"",""Friday"":""16:0-23:0"",""Saturday"":""16:0-23:0"",""Sunday"":""16:0-22:0""}"
aIrHvk3wb1mxHcYbyf7lxw,Papa Murphy's,4010 North East Fremont Street,Portland,OR,97212,45.5481356,-122.6215853,3.0,8,1,"{""RestaurantsGoodForGroups"":""True"",""RestaurantsReservations"":""True"",""GoodForKids"":""True"",""BusinessAcceptsCreditCards"":""True"",""RestaurantsAttire"":""u'casual'"",""WiFi"":""u'no'"",""RestaurantsPriceRange2"":""1"",""Ambience"":""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"",""OutdoorSeating"":""False"",""Alcohol"":""u'none'"",""Caters"":""True"",""NoiseLevel"":""u'average'"",""RestaurantsTakeOut"":""True"",""RestaurantsTableService"":""False"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"",""HasTV"":""True"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"",""BikeParking"":""True"",""RestaurantsDelivery"":""True""}","Pizza, Restaurants","{""Monday"":""10:0-21:0"",""Tuesday"":""10:0-21:0"",""Wednesday"":""10:0-21:0"",""Thursday"":""10:0-21:0"",""Friday"":""10:0-21:0"",""Saturday"":""10:0-21:0"",""Sunday"":""10:0-21:0""}"
4vizGR52Q7AzSyN1VJlPfA,Sugar Swag Bakeshoppe,,Atlanta,GA,30288,33.6610155,-84.3279093,4.5,13,0,"{""RestaurantsPriceRange2"":""1"",""BusinessAcceptsBitcoin"":""False"",""RestaurantsDelivery"":""True"",""BusinessAcceptsCreditCards"":""True"",""Caters"":""True"",""BusinessParking"":""None"",""BikeParking"":""False"",""RestaurantsTakeOut"":""True""}","Cupcakes, Bakeries, Food, Desserts","{""Monday"":""10:0-17:0"",""Tuesday"":""10:0-17:0"",""Wednesday"":""10:0-17:0"",""Thursday"":""10:0-17:0"",""Friday"":""10:0-17:0"",""Saturday"":""10:0-17:0""}"
aQsC6lJOsYNKIMbkVSY91A,Hollywood Farmers Market,Ne Hancock & Ne 44th Ave,Portland,OR,97213,45.536473,-122.617653,4.5,36,1,"{""BusinessParking"":""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"",""RestaurantsPriceRange2"":""2"",""BusinessAcceptsCreditCards"":""True"",""BikeParking"":""True"",""RestaurantsTakeOut"":""True"",""Caters"":""False""}","Bakeries, Food, Farmers Market","{""Saturday"":""9:0-13:0""}"
EnZE-XGCJ81bU_P9Ou7Zww,Bose Store,"700 SW 5th Ave, Ste 1034, Pioneer Place",Portland,OR,97204,45.5184023,-122.6772628,4.0,13,1,"{""ByAppointmentOnly"":""False"",""WheelchairAccessible"":""True"",""BusinessAcceptsCreditCards"":""True"",""BikeParking"":""False"",""RestaurantsPriceRange2"":""3"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': True, 'lot': False, 'valet': False}"",""BusinessAcceptsBitcoin"":""False""}","Shopping, Electronics, High Fidelity Audio Equipment","{""Monday"":""0:0-0:0"",""Tuesday"":""10:0-20:0"",""Wednesday"":""10:0-20:0"",""Thursday"":""10:0-20:0"",""Friday"":""10:0-20:0"",""Saturday"":""10:0-20:0"",""Sunday"":""11:0-18:0""}"
2XcQbGGkx7uJViv47pre2A,Wendy's,8585 Lyra Drive,Columbus,OH,43240,40.1402782,-82.9771421,2.0,20,1,"{""RestaurantsTakeOut"":""True"",""GoodForKids"":""True"",""RestaurantsPriceRange2"":""1"",""RestaurantsGoodForGroups"":""True"",""BusinessAcceptsCreditCards"":""True"",""RestaurantsAttire"":""u'casual'"",""BikeParking"":""False"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"",""HasTV"":""True"",""RestaurantsReservations"":""False"",""WiFi"":""'free'"",""NoiseLevel"":""u'average'"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"",""OutdoorSeating"":""False"",""RestaurantsDelivery"":""True"",""Alcohol"":""u'none'"",""Caters"":""False""}","Restaurants, Burgers, Fast Food","{""Monday"":""9:0-0:0"",""Tuesday"":""9:0-0:0"",""Wednesday"":""9:0-0:0"",""Thursday"":""9:0-0:0"",""Friday"":""9:0-0:0"",""Saturday"":""9:0-0:0"",""Sunday"":""9:0-0:0""}"
