2002, 'SOUTHERN OREGON COASTAL'
2002, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY Tota', 'Pct Avg to Date'
2002, '4BK', 'BROOKINGS', '   6.43', '  14.53', '  17.32', '  17.32', '   9.10', '   6.05', '   6.62', '   3.65', '   3.68', '   0.02', '   0.03', '   1.45', ' 86.20', ' 117'
2002, 'ASHO3', 'ASHLAND', '   0.38', '   3.50', '   3.41', '   1.32', '   1.29', '   1.29', '   2.92', '   1.88', '   0.08', '   0.28', '   0.00', '   0.20', ' 16.55', '  84'
2002, 'COPO3', 'COPPER 4NE', '   0.29', '   6.68', '   6.98', '   3.42', '   1.99', '   1.80', 'M', 'M', 'M', 'M', 'M', '   0.27', 'M'
2002, 'CVJO3', 'CAVE JUNCTION', '   2.46', '  13.60', '  14.81', '   9.76', '   6.46', '   4.63', '   1.94', '   0.89', '   0.00', '   0.00', '   0.00', '   0.33', ' 54.88', '  88'
2002, 'GOLO3', 'GOLD BEACH', '   4.63', '  11.72', '  16.59', '  14.58', '   8.89', '   6.62', '   4.73', '   1.50', '   2.09', '   0.02', '   0.00', '   0.62', ' 71.99', '  91'
2002, 'GPSO3', 'GRANTS PASS KAJO', '   0.39', '   6.37', '   6.94', '   4.31', '   2.89', '   1.36', '   0.87', '   0.62', '   0.02', '   0.00', '   0.00', '   0.05', ' 23.82', '  77'
2002, 'GSPO3', 'GREEN SPRINGS PP', '   0.36', '   4.79', '   5.90', '   2.52', '   1.47', '   1.74', '   2.41', '   1.15', '   0.11', '   0.01', '   0.00', '   0.20', ' 20.66', '  90'
2002, 'LEMO3', 'LEMOLO LAKE', '   5.13', '  10.30', '  12.72', '  11.48', '   4.99', '   6.32', '   5.49', '   1.14', '   2.22', '   0.40', '   0.20', '   2.13', ' 62.52', '  95'
2002, 'MFR', 'MEDFORD', '   0.19', '   4.16', '   4.34', '   1.59', '   1.65', '   1.33', '   1.49', '   0.53', '   0.03', '   0.08', '   0.00', '   0.54', ' 15.93', '  87'
2002, 'OTH', 'NORTH BEND', '   4.45', '  10.25', '  14.10', '  15.79', '   4.14', '   6.67', '   4.56', '   1.48', '   1.42', '   0.01', '   0.22', '   1.33', ' 64.42', ' 100'
