Year,ID,Location,Station,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP
2002,4BK,BROOKINGS,SOUTHERN OREGON COASTAL,6.43,14.53,17.32,17.32,9.1,6.05,6.62,3.65,3.68,0.02,0.03,1.45
2002,ASHO3,ASHLAND,SOUTHERN OREGON COASTAL,0.38,3.5,3.41,1.32,1.29,1.29,2.92,1.88,0.08,0.28,0,0.2
2002,COPO3,COPPER 4NE,SOUTHERN OREGON COASTAL,0.29,6.68,6.98,3.42,1.99,1.8,,,,,,0.27
2002,CVJO3,CAVE JUNCTION,SOUTHERN OREGON COASTAL,2.46,13.6,14.81,9.76,6.46,4.63,1.94,0.89,0,0,0,0.33
2002,GOLO3,GOLD BEACH,SOUTHERN OREGON COASTAL,4.63,11.72,16.59,14.58,8.89,6.62,4.73,1.5,2.09,0.02,0,0.62
2002,GPSO3,GRANTS PASS KAJO,SOUTHERN OREGON COASTAL,0.39,6.37,6.94,4.31,2.89,1.36,0.87,0.62,0.02,0,0,0.05
2002,GSPO3,GREEN SPRINGS PP,SOUTHERN OREGON COASTAL,0.36,4.79,5.9,2.52,1.47,1.74,2.41,1.15,0.11,0.01,0,0.2
2002,LEMO3,LEMOLO LAKE,SOUTHERN OREGON COASTAL,5.13,10.3,12.72,11.48,4.99,6.32,5.49,1.14,2.22,0.4,0.2,2.13
2002,MFR,MEDFORD,SOUTHERN OREGON COASTAL,0.19,4.16,4.34,1.59,1.65,1.33,1.49,0.53,0.03,0.08,0,0.54
2002,OTH,NORTH BEND,SOUTHERN OREGON COASTAL,4.45,10.25,14.1,15.79,4.14,6.67,4.56,1.48,1.42,0.01,0.22,1.33
2002,PRSO3,PROSPECT 2SW,SOUTHERN OREGON COASTAL,1.78,7.17,9.1,5.86,3.45,3.51,2.88,0.65,0.34,0.03,0,0.82
2002,RIDO3,RIDDLE,SOUTHERN OREGON COASTAL,1.02,6.84,6.71,4.81,2.76,1.71,1.23,1.3,0.26,0.02,0,0.24
2002,ROGO3,ROSEBURG,SOUTHERN OREGON COASTAL,1.91,6.88,6.65,4.83,2.4,0.85,1.54,1.13,0.19,0,0,0.32
2002,SXT,SEXTON SUMMIT,SOUTHERN OREGON COASTAL,0.28,5.13,5.75,5.75,3.03,2.9,1.63,1.08,0.07,0.01,0,0.2
2002,TKFO3,TOKETEE FALLS,SOUTHERN OREGON COASTAL,3.23,7.45,9.59,6.94,3.54,4.06,3.31,1.22,1.17,0.04,0.02,1.99
2002,WINO3,WINCHESTER DAM,SOUTHERN OREGON COASTAL,1.66,7.37,7.39,5.32,2.77,2.93,1.46,1.29,0.25,0,0.08,0.65
2002,WLMO3,WILLIAMS,SOUTHERN OREGON COASTAL,0.4,7.11,7.98,7.98,2.68,2.68,1.79,0.46,0,0,0,0.08
2002,DNON2,DENIO,OREGON CLOSED BASINS,0.25,1.54,1.37,0.69,0.91,0.56,0.83,0.15,0.12,0,0.08,0.53
2002,HMRO3,HART MOUNTAIN REF,OREGON CLOSED BASINS,0.34,1.37,0.61,0.67,0.63,0.72,1.45,0.6,0.66,0,0.15,0.57
2002,PASO3,PAISLEY,OREGON CLOSED BASINS,0.29,2.09,1.16,0.4,0.52,0.37,1.24,0.73,0.58,0.04,0.08,0.25
2002,SMMO3,SUMMER LAKE,OREGON CLOSED BASINS,0.47,2.68,2.19,0.79,0.69,0.32,1.3,0.3,0.13,0.09,0.23,0.45
2002,SVLO3,SILVER LAKE,OREGON CLOSED BASINS,0.18,0.98,1.47,0.59,0.5,0.26,0.68,0.09,0.75,0.1,0.11,0.29
2002,CEC,CRESCENT CITY ASOS,NORTHERN CALIFORNIA COASTAL,3.23,10.81,12.39,10.04,6.73,4.55,3.21,1.47,1.47,0.06,0.06,0.25
2002,CECC1,CRESCENT CITY 3NNW,NORTHERN CALIFORNIA COASTAL,3.93,12.04,15.31,11.63,8.9,5.98,3.77,1.99,1.67,0,0,0.39
2002,CVLC1,COVELO,NORTHERN CALIFORNIA COASTAL,1.2,10.82,12.36,5.87,3.59,2.73,0.97,1.15,0,0,0,0
2002,EKA,EUREKA,NORTHERN CALIFORNIA COASTAL,1,7.71,11.56,6.37,5.76,4.32,2.42,0.55,0.28,0.03,0.01,0.06
2002,FORC1,FORT ROSS,NORTHERN CALIFORNIA COASTAL,2.48,8.98,10.91,7.01,3.25,3.32,0.55,0.35,0,0,0,0
2002,FRBC1,FT BRAGG 5N,NORTHERN CALIFORNIA COASTAL,0.75,10.48,13.32,6.63,5.34,3.51,1.2,0.53,0,0.02,0.15,0.05
2002,GASC1,GASQUET RS,NORTHERN CALIFORNIA COASTAL,4.79,15.67,20.02,14.72,10.91,8.49,4.48,1.41,0.74,0,0,0.29
2002,O87,SHELTER COVE,NORTHERN CALIFORNIA COASTAL,1.39,15.09,18.69,,12.02,5.45,1.65,1.12,0,0,0,0
2002,RIHC1,RICHARDSON GROVE SP,NORTHERN CALIFORNIA COASTAL,2.52,15.13,15.7,13.06,6.49,4.98,1.65,1.55,0,0,0,0
2002,SCOC1,SCOTIA,NORTHERN CALIFORNIA COASTAL,1.44,9.41,12.45,6.35,3.88,4.84,2.74,0.83,0.04,0.02,0,0.08
2002,STNC1,STANDISH HICKEY SP,NORTHERN CALIFORNIA COASTAL,1.53,17.85,17.55,13.6,10.1,4.97,2.1,2.07,,,0,
2002,WTSC1,WILLITS 1NE,NORTHERN CALIFORNIA COASTAL,1.11,14.56,,6.68,4.95,4.08,1.04,1.19,0,0,,
2002,CHEO3,CHEMULT,UPPER KLAMATH,0.96,5.46,5.1,3.81,2.62,1.64,1,0.47,1.17,1.22,0.12,0.36
2002,CHQO3,CHILOQUIN 7NW,UPPER KLAMATH,0.94,4.5,5.77,3.35,1.77,0.77,0.9,0.15,0.16,0.03,0,0.16
2002,CRLO3,CRATER LAKE NP,UPPER KLAMATH,3.65,10.96,13.81,8.41,5.21,5.21,3.1,0.66,1.28,0.27,0.16,1.76
2002,GBZO3,GERBER,UPPER KLAMATH,0.72,1.99,2.51,0.81,1.55,0.8,1.04,0.15,0.24,0.05,0,0.01
2002,HOWO3,HOWARD PRAIRIE,UPPER KLAMATH,1.12,6.5,7.49,4.84,2.34,2.64,2.83,0.55,0.45,0.14,0,0.21
2002,KENO3,KENO,UPPER KLAMATH,0.47,4.43,3.75,1.83,2.17,0.77,2.52,0.48,0.01,0.05,0.05,0.09
2002,LMT,KLAMATH FALLS,UPPER KLAMATH,0.31,2,2.15,1.47,1.59,1.35,2.09,0.18,0.82,0,0.05,0
2002,BBAC1,BIG BAR 4E,LOWER KLAMATH,0.89,10.48,8.93,5.36,4.49,2.01,1.22,0.43,0,0.37,0,0
2002,CHNC1,CALLAHAN,LOWER KLAMATH,0.19,5.2,4.28,1.94,2.34,0.66,1.22,0.37,0.11,0.16,0.01,0.16
2002,COPC1,COPCO #1 DAM,LOWER KLAMATH,0.34,3.86,4.42,2.17,1.56,1.12,2.85,0.6,0.4,0.01,0.01,0.03
2002,FOJC1,FORT JONES,LOWER KLAMATH,0.28,5.3,4.96,3.22,1.57,0.57,1.77,0.29,0.19,0.38,0.01,0.23
2002,HFKC1,HAYFORK 2W,LOWER KLAMATH,1.63,9.63,9.98,6.6,3.78,1.85,0.73,0.78,0.05,0.09,0.01,0
2002,HPAC1,HOOPA,LOWER KLAMATH,,14.1,12.9,8,6.3,3.7,2.3,0.4,0,0,0,0
2002,HPYC1,HAPPY CAMP,LOWER KLAMATH,1.11,12.45,13.32,7.6,5.59,3.07,2.56,0.77,0,0.28,0,0.15
2002,HYAC1,HYAMPOM,LOWER KLAMATH,,,,,5.26,2.41,1.22,1.02,0,0.01,0,0
2002,KLAC1,KLAMATH,LOWER KLAMATH,5.04,17.64,19.6,10.79,11.71,7.57,4.48,1.13,0.91,0.04,0.01,0.45
2002,MTHC1,MT. HEBRON RS,LOWER KLAMATH,0.59,2.55,2.01,1.18,1.04,0.85,0.89,0.66,0.86,0.03,0,0.02
2002,ORLC1,ORLEANS,LOWER KLAMATH,1.23,12.98,12.58,7.52,6.06,3.97,2.78,0.89,0,0.02,0,0
2002,STGC1,LAVA BEDS NM,LOWER KLAMATH,0.28,2.33,2.02,1,0.84,2.81,2.11,0.88,0.64,0.02,0.06,0
2002,TRHC1,TRINITY RIVER HATCHERY,LOWER KLAMATH,0.87,9.37,9.39,3.7,3.88,1.91,1.16,1,0.3,0,0,0.02
2002,TULC1,TULE LAKE,LOWER KLAMATH,0.23,1.86,1.87,1.3,1,0.36,1.16,0.35,0.1,0.05,0.03,0.03
2002,WEAC1,WEAVERVILLE,LOWER KLAMATH,1.22,11.07,11.01,4.88,4.82,2.16,0.98,1.2,0.5,0.25,0,0
2002,WLLC1,WILLOW CREEK 1NW,LOWER KLAMATH,1.25,13.65,14,8.63,7.29,4.09,1.64,0.68,0,0,0,0
2002,YKAC1,YREKA,LOWER KLAMATH,0.28,5.39,4.14,1.87,1.45,0.49,1.56,0.61,0.2,0.18,0.2,0.43
2002,ANGC1,ANGWIN PACIFIC UNION COLL,RUSSIAN...NAPA...SAN FRANCISCO BAY,1.44,9.16,15.12,5.7,2.48,3.69,0.44,1.4,0,0,0,0
2002,FFDC1,FAIRFIELD,RUSSIAN...NAPA...SAN FRANCISCO BAY,0.5,4.37,10.23,3.1,1.37,1.95,0.1,1.33,0,0,0,0
2002,HLDC1,HEALDSBURG FIRE DEPT,RUSSIAN...NAPA...SAN FRANCISCO BAY,3.03,10.44,12.83,3.08,1.8,3.46,1.63,1.58,0,0,0,0
2002,MHMC1,MOUNT HAMILTON,RUSSIAN...NAPA...SAN FRANCISCO BAY,0.5,3.59,7.01,2.15,1.72,3.86,1.28,2.22,0,0,0,0.06
2002,NSHC1,NAPA STATE HOSPITAL,RUSSIAN...NAPA...SAN FRANCISCO BAY,0.51,6.17,9.45,3.5,1.93,2.63,0.3,1.2,0,0,0,0
2002,PORC1,POTTER VALLEY PH,RUSSIAN...NAPA...SAN FRANCISCO BAY,1.4,12.48,15.1,6.16,3.67,3.9,1.19,1.22,0,0,0,0
2002,SFO,SAN FRANCISCO AIRPORT,RUSSIAN...NAPA...SAN FRANCISCO BAY,0.31,4.52,8.54,1.4,1.5,2.13,0.36,0.48,0,0,0,0.01
2002,SFOC1,DOWNTOWN SAN FRANCISCO,RUSSIAN...NAPA...SAN FRANCISCO BAY,0.49,5.18,10.75,2.13,2.59,2.27,0.52,0.84,0.03,0,0.03,0.01
2002,STSC1,SANTA ROSA,RUSSIAN...NAPA...SAN FRANCISCO BAY,0.81,9,11.49,5.02,1.84,2.43,0.64,1.13,0,0,0,0
2002,UKHC1,UKIAH FIRE DEPT,RUSSIAN...NAPA...SAN FRANCISCO BAY,0.69,9.36,10.77,4.16,3.05,2.09,0.7,0.76,0,0,,0
2002,UKI,UKIAH ASOS,RUSSIAN...NAPA...SAN FRANCISCO BAY,0.68,8.55,10.22,4.22,3.05,2.13,0.85,0.88,0,0,0,0
2002,4LW,LAKEVIEW,SACRAMENTO...YUBA...FEATHER...AMERICAN,0.54,3.15,3.51,1.11,1.74,0.83,3.05,0.14,0.24,0,0.04,0.13
2002,ADNC1,ADIN,SACRAMENTO...YUBA...FEATHER...AMERICAN,0.21,2.46,2.37,1.62,1.22,1.4,1.84,0.46,0.1,0,0,0
