Year,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP
2002,0.00,6.03,7.18,0.82,2.01,9.96,4.74,0.78,0.13,0.00,0.09,0.00
2003,0.00,6.03,7.18,0.82,2.01,9.96,4.74,0.78,0.13,0.00,0.09,0.00
2004,0.00,6.03,7.18,0.82,2.01,9.96,4.74,0.78,0.13,0.00,0.09,0.00
2005,0.00,6.03,7.18,0.82,2.01,9.96,4.74,0.78,0.13,0.00,0.09,0.00
2006,0.00,6.03,7.18,0.82,2.01,9.96,4.74,0.78,0.13,0.00,0.09,0.00
2007,0.00,6.03,7.18,0.82,2.01,9.96,4.74,0.78,0.13,0.00,0.09,0.00
2008,0.00,6.03,7.18,0.82,2.01,9.96,4.74,0.78,0.13,0.00,0.09,0.00
2009,0.00,6.03,7.18,0.82,2.01,9.96,4.74,0.78,0.13,0.00,0.09,0.00
2010,0.00,6.03,7.18,0.82,2.01,9.96,4.74,0.78,0.13,0.00,0.09,0.00
2011,0.00,6.03,7.18,0.82,2.01,9.96,4.74,0.78,0.13,0.00,0.09,0.00
2012,0.00,6.03,7.18,0.82,2.01,9.96,4.74,0.78,0.13,0.00,0.09,0.00
2013,0.00,6.03,7.18,0.82,2.01,9.96,4.74,0.78,0.13,0.00,0.09,0.00
2014,0.00,6.03,7.18,0.82,2.01,9.96,4.74,0.78,0.13,0.00,0.09,0.00
2015,0.00,6.03,7.18,0.82,2.01,9.96,4.74,0.78,0.13,0.00,0.09,0.00
2016,0.00,6.03,7.18,0.82,2.01,9.96,4.74,0.78,0.13,0.00,0.09,0.00
2017,0.00,6.03,7.18,0.82,2.01,9.96,4.74,0.78,0.13,0.00,0.09,0.00
2018,0.00,6.03,7.18,0.82,2.01,9.96,4.74,0.78,0.13,0.00,0.09,0.00
2019,0.00,6.03,7.18,0.82,2.01,9.96,4.74,0.78,0.13,0.00,0.09,0.00
2020,0.00,6.03,7.18,0.82,2.01,9.96,4.74,0.78,0.13,0.00,0.09,0.00
