"Year","Location","Station Name","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP"
"2002","ASHLAND","SOUTHERN OREGON COASTAL","0.86","0.49","2.12","3.42","1.38","1.00","0.36","2.30","1.54","0.00","0.00","0.16"
"2002","CAVE JUNCTION","SOUTHERN OREGON COASTAL","","","","","","","","","","","",""
"2002","GOLD BEACH","SOUTHERN OREGON COASTAL","","","","","","","","","","","",""
"2002","GRANTS PASS KAJO","SOUTHERN OREGON COASTAL","0.61","1.21","4.19","6.31","0.24","0.77","0.58","2.02","0.87","0.00","0.00","0.20"
"2002","GREEN SPRINGS PP","SOUTHERN OREGON COASTAL","0.35","0.75","2.44","4.14","0.66","","0.26","2.59","","","0.00","0.20"
"2002","LEMOLO LAKE","SOUTHERN OREGON COASTAL","3.68","1.81","5.59","18.19","4.34","4.32","3.37","4.05","2.52","0.00","0.02","2.33"
"2002","MEDFORD","SOUTHERN OREGON COASTAL","0.65","0.24","2.86","3.43","0.51","0.74","0.46","2.50","1.20","0.00","0.00","0.05"
"2002","NORTH BEND","SOUTHERN OREGON COASTAL","2.43","2.10","9.16","7.73","2.85","3.71","2.71","4.66","2.00","0.04","0.07","1.37"
"2002","PROSPECT 2SW","SOUTHERN OREGON COASTAL","2.22","1.95","4.12","9.19","2.08","3.27","1.43","4.06","1.80","0.00","0.00","0.77"
"2002","RIDDLE","SOUTHERN OREGON COASTAL","0.88","1.73","4.20","7.34","1.35","1.74","1.34","2.16","0.81","0.00","0.00","0.72"
"2002","ROSEBURG","SOUTHERN OREGON COASTAL","","","","","","","","","","","",""
"2002","SEXTON SUMMIT","SOUTHERN OREGON COASTAL","","0.42","5.34","7.06","0.73","2.15","0.78","4.16","0.92","0.00","0.05","0.80"
"2002","TOKETEE FALLS","SOUTHERN OREGON COASTAL","2.70","1.54","3.55","10.37","3.16","4.31","2.39","4.26","2.41","0.00","0.01","1.54"
"2002","WINCHESTER DAM","SOUTHERN OREGON COASTAL","1.28","1.77","4.14","8.24","1.60","2.63","1.69","2.75","1.33","0.00","0.00","1.10"
"2002","WILLIAMS","SOUTHERN OREGON COASTAL","0.65","0.85","4.52","7.00","0.27","1.40","0.31","2.70","0.79","0.00","0.01","0.08"
"2002","HART MOUNTAIN REF","OREGON CLOSED BASINS","0.00","0.00","","2.60","0.08","1.63","0.69","0.97","2.59","0.03","0.02","0.00"
"2002","PAISLEY","OREGON CLOSED BASINS","","","","","","","","","","","",""
"2002","SUMMER LAKE","OREGON CLOSED BASINS","0.39","0.37","1.51","1.93","0.27","1.89","0.40","1.03","0.55","0.06","0.30","0.00"
"2002","SILVER LAKE","OREGON CLOSED BASINS","","","","","","","","","","","",""
