"Year","Month","Inches of Precipitation"
"2002","OCT","0.86"
"2002","NOV","0.49"
"2002","DEC","2.12"
"2002","JAN","3.42"
"2002","FEB","1.38"
"2002","MAR","1.00"
"2002","APR","0.36"
"2002","MAY","2.30"
"2002","JUN","1.54"
"2002","JUL","0.00"
"2002","AUG","0.00"
"2002","SEP","0.16"
"2002","OCT",""
"2002","NOV",""
"2002","DEC",""
"2002","JAN",""
"2002","FEB",""
"2002","MAR",""
"2002","APR",""
"2002","MAY",""
"2002","JUN",""
"2002","JUL",""
"2002","AUG",""
"2002","SEP",""
"2002","OCT",""
"2002","NOV",""
"2002","DEC",""
"2002","JAN",""
"2002","FEB",""
"2002","MAR",""
"2002","APR",""
"2002","MAY",""
"2002","JUN",""
"2002","JUL",""
"2002","AUG",""
"2002","SEP",""
"2002","OCT","0.61"
"2002","NOV","1.21"
"2002","DEC","4.19"
"2002","JAN","6.31"
"2002","FEB","0.24"
"2002","MAR","0.77"
"2002","APR","0.58"
"2002","MAY","2.02"
"2002","JUN","0.87"
"2002","JUL","0.00"
"2002","AUG","0.00"
"2002","SEP","0.20"
"2002","OCT","0.35"
"2002","NOV","0.75"
"2002","DEC","2.44"
"2002","JAN","4.14"
"2002","FEB","0.66"
"2002","MAR",""
"2002","APR","0.26"
"2002","MAY","2.59"
"2002","JUN",""
"2002","JUL",""
"2002","AUG","0.00"
"2002","SEP","0.20"
"2002","OCT","3.68"
"2002","NOV","1.81"
"2002","DEC","5.59"
"2002","JAN","18.19"
"2002","FEB","4.34"
"2002","MAR","4.32"
"2002","APR","3.37"
"2002","MAY","4.05"
"2002","JUN","2.52"
"2002","JUL","0.00"
"2002","AUG","0.02"
"2002","SEP","2.33"
"2002","OCT","0.65"
"2002","NOV","0.24"
"2002","DEC","2.86"
"2002","JAN","3.43"
"2002","FEB","0.51"
"2002","MAR","0.74"
"2002","APR","0.46"
"2002","MAY","2.50"
"2002","JUN","1.20"
"2002","JUL","0.00"
"2002","AUG","0.00"
"2002","SEP","0.05"
"2002","OCT","2.43"
"2002","NOV","2.10"
"2002","DEC","9.16"
"2002","JAN","7.73"
"2002","FEB","2.85"
"2002","MAR","3.71"
"2002","APR","2.71"
"2002","MAY","4.66"
"2002","JUN","2.00"
"2002","JUL","0.04"
"2002","AUG","0.07"
"2002","SEP","1.37"
"2002","OCT","2.22"
"2002","NOV","1.95"
"2002","DEC","4.12"
"2002","JAN","9.19"
"2002","FEB","2.08"
"2002","MAR","3.27"
"2002","APR","1.43"
"2002","MAY","4.06"
"2002","JUN","1.80"
"2002","JUL","0.00"
"2002","AUG","0.00"
"2002","SEP","0.77"
"2002","OCT","0.88"
"2002","NOV","1.73"
"2002","DEC","4.20"
"2002","JAN","7.34"
"2002","FEB","1.35"
"2002","MAR","1.74"
"2002","APR","1.34"
"2002","MAY","2.16"
"2002","JUN","0.81"
"2002","JUL","0.00"
"2002","AUG","0.00"
"2002","SEP","0.72"
